Frame,Label,Confidence,X1,Y1,X2,Y2
0,player,0.8779541850090027,748,320,868,535
0,player,0.8472654223442078,219,166,288,356
0,player,0.8467792868614197,475,192,546,367
0,player,0.8413562774658203,1115,358,1255,581
0,player,0.8102983236312866,894,221,962,390
0,player,0.7866007685661316,179,392,244,630
0,player,0.708879828453064,288,270,364,434
1,player,0.8838529586791992,741,321,855,535
1,player,0.8668357729911804,209,165,284,354
1,player,0.8544989228248596,1111,359,1247,577
1,player,0.8494448661804199,886,219,960,390
1,player,0.8430877327919006,470,193,546,373
1,player,0.7959631085395813,176,389,245,630
1,player,0.7950237989425659,283,271,364,466
2,player,0.8833113312721252,741,321,855,534
2,player,0.8703684210777283,208,165,284,354
2,player,0.8534157276153564,1111,359,1247,577
2,player,0.8432843089103699,470,193,546,372
2,player,0.8418862223625183,887,219,960,390
2,player,0.8028097748756409,176,388,244,630
2,player,0.7957154512405396,284,270,364,463
3,player,0.8890578746795654,729,325,845,537
3,player,0.8761180639266968,1116,360,1236,543
3,player,0.8620768785476685,875,217,960,391
3,player,0.8600071668624878,201,164,281,354
3,player,0.8542451858520508,464,199,546,374
3,player,0.7931157946586609,285,274,365,500
3,player,0.7660213112831116,169,386,245,630
4,player,0.8888034820556641,729,325,845,537
4,player,0.8765068650245667,1116,360,1236,543
4,player,0.8617224097251892,875,217,960,391
4,player,0.8598574995994568,201,164,281,354
4,player,0.8542583584785461,464,199,546,373
4,player,0.7926728129386902,285,274,365,500
4,player,0.7645007371902466,169,386,245,630
5,player,0.8691468238830566,717,327,834,536
5,player,0.8576717972755432,867,217,953,389
5,player,0.8565694093704224,455,203,542,375
5,player,0.8558035492897034,191,165,275,352
5,player,0.8362327814102173,282,274,365,485
5,player,0.8326427936553955,1121,407,1229,542
5,player,0.816100001335144,166,383,247,623
5,player,0.27949678897857666,860,222,890,391
6,player,0.8689637184143066,717,327,834,536
6,player,0.859253466129303,867,217,953,389
6,player,0.8567182421684265,455,203,542,375
6,player,0.8554646968841553,191,165,275,352
6,player,0.8366844058036804,282,273,365,485
6,player,0.8324123620986938,1121,407,1229,542
6,player,0.8165169954299927,166,384,247,623
7,player,0.8847695589065552,709,330,821,537
7,player,0.8664587140083313,159,387,260,627
7,player,0.8635416030883789,446,205,537,373
7,player,0.8614869117736816,184,168,271,356
7,player,0.8589620590209961,857,218,949,393
7,player,0.8030070066452026,280,274,363,479
7,player,0.7875341176986694,1129,407,1222,540
8,player,0.8851141929626465,709,330,821,538
8,player,0.8705426454544067,157,386,260,628
8,player,0.8642550110816956,184,168,271,356
8,player,0.8632314801216125,446,207,537,373
8,player,0.8630646467208862,856,218,949,393
8,player,0.8157367706298828,280,273,363,480
8,player,0.7975928783416748,1129,408,1222,540
9,player,0.8871703147888184,436,208,531,376
9,player,0.8837742805480957,699,329,809,538
9,player,0.8682457208633423,272,271,371,490
9,player,0.8619047999382019,844,222,938,392
9,player,0.861411988735199,183,173,262,351
9,player,0.8610749244689941,157,389,265,636
9,player,0.6541646122932434,1130,349,1212,539
9,basketball,0.3491615056991577,1145,433,1165,465
10,player,0.8873451352119446,436,208,531,376
10,player,0.8834941983222961,699,329,809,539
10,player,0.8709896802902222,272,271,370,490
10,player,0.8626084923744202,844,222,938,392
10,player,0.8625034689903259,182,173,262,351
10,player,0.8603581190109253,157,389,265,636
10,player,0.6685066819190979,1131,350,1213,539
10,basketball,0.34074103832244873,1145,433,1165,465
11,player,0.877216100692749,685,328,797,540
11,player,0.8762890100479126,155,393,265,640
11,player,0.8660122752189636,428,211,523,375
11,player,0.8532753586769104,272,274,364,488
11,player,0.8521334528923035,182,174,258,353
11,player,0.8447761535644531,839,218,929,394
12,player,0.8771682381629944,685,328,797,540
12,player,0.8764481544494629,155,394,265,640
12,player,0.8701434135437012,428,211,523,375
12,player,0.8532953858375549,272,274,364,488
12,player,0.8509544134140015,182,174,258,353
12,player,0.8448970913887024,839,218,929,394
13,player,0.8901975154876709,680,328,787,544
13,player,0.8727977871894836,158,400,253,644
13,player,0.8672488927841187,265,275,368,495
